CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
27,51,M,0,Graduate,Single,Less than $40K,Blue,53,4,5,3,1438.3,1548,3.0,1.9988388662704317,3385,56,0.0,0.38438169368622815
28,56,F,0,High School,Married,Less than $40K,Blue,40,3,1,5,2353.061715206115,2517,3.0,0.5127838632063006,2992,54,0.0,0.5239037612468637
29,54,M,3,High School,Unknown,$40K - $60K,Blue,48,1,3,3,1438.3,0,1438.3,0.4058617855123841,6325,75,0.27019260689995184,0.10830551000515279
30,36,M,3,Graduate,Married,Less than $40K,Blue,37,1,3,3,26790.216171580814,1121,25669.216171580814,2.1224850442178633,510,10,1.2553291220817462,0.19782359927313703
31,45,F,2,College,Divorced,Less than $40K,Blue,32,2,6,3,22118.42527913346,699,21419.42527913346,0.0,618,10,0.4530982270095913,0.47956573169893735
32,52,F,5,Unknown,Married,$60K - $80K,Blue,26,3,5,3,16916.069249697182,91,16825.069249697182,1.1013358990310598,2007,44,1.105299111873637,0.0
33,43,F,1,College,Married,Less than $40K,Blue,42,2,0,4,1438.3,1496,3.0,1.068796537332268,557,16,0.0,0.0
34,37,M,5,High School,Divorced,$80K - $120K,Blue,22,6,0,2,5150.754168092121,1586,3564.7541680921213,0.0,2318,40,0.0,0.0
35,44,F,1,Uneducated,Married,$40K - $60K,Blue,37,6,6,2,5904.14122686013,664,5240.14122686013,0.0,2728,34,0.0,0.29684330358576455
36,42,M,4,College,Divorced,$40K - $60K,Blue,48,3,1,5,1438.3,1432,6.2999999999999545,2.333450685485847,6656,102,2.4790382475752493,0.36594305225688945
37,51,F,2,Graduate,Married,Less than $40K,Blue,18,6,5,0,1438.3,2084,3.0,0.7402704652499401,8746,113,0.0,0.0
38,58,F,4,Graduate,Divorced,$60K - $80K,Blue,31,4,2,0,1438.3,1229,209.29999999999995,0.0,2401,35,1.9922842462760024,0.0
39,35,M,3,Unknown,Unknown,$60K - $80K,Blue,52,4,5,3,6614.09135602525,2124,4490.09135602525,0.5427676457662114,3300,52,0.20899498828236152,0.3460701514593755
40,45,F,4,Graduate,Unknown,Unknown,Blue,31,2,3,4,12596.757038843603,30,12566.757038843603,0.5248736963315416,6140,85,2.012546392465172,0.0
41,32,F,4,High School,Unknown,$60K - $80K,Blue,45,2,3,4,6082.582821197296,657,5425.582821197296,1.9066689829785963,2892,73,0.41727710262731776,0.8024799707100418
42,49,M,0,High School,Unknown,$80K - $120K,Blue,42,3,4,6,25562.606538836168,0,25562.606538836168,0.0,1711,31,0.42121994881319147,0.5409745796511296
43,36,F,0,Unknown,Married,Less than $40K,Blue,36,6,4,6,6357.901318297092,0,6357.901318297092,0.27396255602785247,3829,80,0.4013922412706308,0.03472389509815499
44,59,F,1,Uneducated,Divorced,Less than $40K,Blue,13,4,1,2,13487.301027593116,90,13397.301027593116,0.646726205344747,2498,33,0.0,0.01516863452670722
45,36,F,1,High School,Married,$120K +,Blue,36,3,2,3,3247.1662204287404,0,3247.1662204287404,0.16527602479115866,5653,97,1.0010442995101014,0.34931603444388126
46,46,F,1,College,Married,$80K - $120K,Blue,22,6,4,1,20637.371000417676,0,20637.371000417676,0.0,1107,23,0.23086839647225865,0.3737449725428733
47,51,M,4,High School,Single,Less than $40K,Blue,41,2,2,6,1438.3,236,1202.3,2.172788228891277,6281,103,0.4010032661877643,0.04002743752970826
48,48,M,1,College,Single,$40K - $60K,Blue,56,1,0,0,6318.061911174262,0,6318.061911174262,0.28268672196878697,2218,41,0.3899263999897806,0.04141307846571078
49,40,F,2,College,Married,$40K - $60K,Blue,48,1,2,5,1438.3,593,845.3,1.4341804323711982,3353,50,2.0505093207690304,0.38250467790394715
50,47,F,2,Graduate,Unknown,Less than $40K,Blue,42,2,0,3,1438.3,0,1438.3,0.60773269697739,1927,23,0.18618625413310996,0.0831969206964317
51,44,F,3,Uneducated,Married,Less than $40K,Blue,37,3,1,0,13448.287823779017,2009,11439.287823779017,0.8534461150136246,2986,59,1.433347725230838,0.0
52,41,F,3,Unknown,Single,$40K - $60K,Blue,29,5,4,5,1438.3,296,1142.3,0.9057844926465091,7127,89,0.5265367483067136,0.8360226590857724
53,44,M,1,Graduate,Married,$60K - $80K,Blue,52,1,3,4,1841.266674887068,0,1841.266674887068,0.9319981392719588,2741,66,0.0,0.0
54,30,M,3,Graduate,Single,Less than $40K,Blue,21,3,6,0,15911.534775899803,1281,14630.534775899803,0.2433640368364402,1546,28,0.0,0.34256307076055853
55,46,M,2,Graduate,Married,$80K - $120K,Blue,23,2,0,3,1650.6355066727183,541,1109.6355066727183,0.0,3371,57,0.7636954667720488,0.543609881093013
56,26,M,5,Unknown,Married,$80K - $120K,Blue,25,6,2,3,14471.446476321595,1611,12860.446476321595,0.0,1170,27,0.10183657100792598,0.3898940166321144
57,36,F,1,Unknown,Unknown,$40K - $60K,Blue,36,6,5,5,1438.3,1919,3.0,0.44906582709624443,5898,76,1.2050489504016202,0.0
58,53,M,2,Graduate,Married,Less than $40K,Blue,45,2,5,3,1438.3,0,1438.3,2.2643216059606823,3240,37,1.1710182989831113,0.27044905058759694
59,43,M,0,Doctorate,Married,Less than $40K,Blue,43,5,4,2,3169.6712908142335,622,2547.6712908142335,0.0,6190,88,0.0,0.0
60,47,M,4,Unknown,Married,$40K - $60K,Silver,45,3,0,0,1438.3,857,581.3,0.840748695743849,999,17,0.0,0.4501656206285258
61,46,F,0,Unknown,Married,Less than $40K,Blue,38,5,3,4,9819.19308137838,1884,7935.19308137838,0.8096902051374664,4958,93,0.28403380988847887,0.3667406153486332
62,42,F,3,High School,Married,$60K - $80K,Blue,44,3,4,6,2099.960502857575,86,2013.9605028575752,0.0,4744,69,2.085584083213796,0.21532221353240094
63,36,F,2,Unknown,Unknown,Less than $40K,Blue,30,4,0,2,20780.386705588317,1298,19482.386705588317,0.0,2683,34,0.9166814292602805,0.009298786061470637
64,56,F,1,Uneducated,Single,$40K - $60K,Blue,33,3,3,4,9348.460902996962,686,8662.460902996962,1.0123519565115506,2195,56,0.0,0.0
65,37,F,2,High School,Single,Less than $40K,Blue,32,1,2,0,1438.3,378,1060.3,0.41076859649221964,3147,41,3.016164887253011,0.0
66,43,M,4,Uneducated,Married,$40K - $60K,Blue,39,4,1,3,3402.9657697463927,1797,1605.9657697463927,0.7341374252267706,8992,130,0.0,0.8761708953080296
67,55,F,5,Graduate,Married,Unknown,Blue,31,6,2,0,13701.38101362396,429,13272.38101362396,0.0,6644,98,2.1378579408395355,0.487671879810804
68,42,M,2,Unknown,Married,$40K - $60K,Blue,56,5,4,3,9460.006347416605,0,9460.006347416605,1.12261821325238,1840,27,0.288730582201199,0.03714526353763735
69,26,F,5,Uneducated,Single,Less than $40K,Blue,48,3,3,3,10204.86972427636,116,10088.86972427636,1.584146170057748,3319,42,0.0,0.08648938182250668
70,54,M,2,College,Single,$40K - $60K,Blue,42,3,4,5,1438.3,383,1055.3,0.3213247204085098,8481,114,2.3764909278933573,0.0
71,30,M,1,High School,Single,$120K +,Blue,45,4,2,1,12403.551022335276,2517,9886.551022335276,0.16562040897509933,8200,91,0.046102360611992466,0.0
72,52,F,3,Graduate,Single,$60K - $80K,Blue,41,4,2,5,6877.9507254561695,1469,5408.9507254561695,0.6727861102891883,3479,48,0.0,0.2681825814411202
73,52,M,1,Uneducated,Unknown,Less than $40K,Blue,32,3,2,3,8000.550766215719,489,7511.550766215719,0.15148630246330375,3855,61,0.0,0.0
74,53,M,1,Graduate,Married,$40K - $60K,Blue,45,3,4,1,11150.767319735694,1293,9857.767319735694,0.0,6055,89,1.5260882986904625,0.2740378117619193
75,36,M,3,High School,Married,Less than $40K,Blue,37,5,3,4,1438.3,0,1438.3,0.3571984657765261,6163,112,0.18361290115119938,0.0
76,49,M,3,Uneducated,Married,$80K - $120K,Blue,35,2,0,1,31034.087173249536,778,30256.087173249536,1.241708121145456,4277,57,0.0,0.0
77,61,M,1,Graduate,Divorced,Less than $40K,Blue,50,2,1,0,12928.321175514353,2101,10827.321175514353,1.7722983272020032,4946,45,0.0,0.016721052972448636
78,42,M,0,High School,Single,$60K - $80K,Blue,36,4,3,1,13667.34064721813,818,12849.34064721813,0.0,3829,53,0.44369363520678423,0.1633337898822354
79,53,M,5,Post-Graduate,Married,$120K +,Blue,37,1,4,5,2723.227005460547,0,2723.227005460547,0.3846024700986435,4576,67,0.48619119780548165,0.0
80,42,M,4,Graduate,Married,Less than $40K,Blue,13,6,4,6,23944.062006987835,452,23492.062006987835,2.909201699529988,4202,53,0.0,0.2798385852599963
81,55,F,1,Unknown,Single,$120K +,Blue,39,3,1,5,1438.3,1187,251.29999999999995,0.6707912463828289,1831,36,0.02771403893780411,0.299026416750497
82,35,F,3,High School,Divorced,Less than $40K,Blue,50,5,0,3,5785.3354700190075,1355,4430.3354700190075,1.2554518544044955,2114,30,0.0,0.0
83,35,F,2,High School,Single,Less than $40K,Blue,36,1,3,0,23479.185190859353,1074,22405.185190859353,1.4481386389284951,3532,53,0.0,0.48515895717931484
84,51,M,1,Uneducated,Unknown,Unknown,Blue,27,6,3,0,13511.491903584392,1347,12164.491903584392,0.8825042168195711,594,10,0.0,0.07242870849960194
85,38,F,0,Unknown,Divorced,$60K - $80K,Blue,35,1,0,4,1438.3,1243,195.29999999999995,0.4880653535095235,2076,23,0.0,0.18363580754453795
86,34,F,2,Graduate,Divorced,$120K +,Blue,37,3,4,4,5821.627827424743,255,5566.627827424743,0.9752113003443428,7603,94,0.5371555343492582,0.17800533877554753
87,51,M,5,Post-Graduate,Single,$40K - $60K,Blue,34,1,3,0,12681.5986374067,1095,11586.5986374067,0.6035508627758799,3637,48,0.0,0.12168305348560257
88,42,M,5,Graduate,Married,Unknown,Blue,33,3,0,2,1438.3,0,1438.3,0.8659399431504842,3495,51,1.0497349046174715,0.5243910575050269
89,45,F,1,Doctorate,Single,Less than $40K,Blue,56,4,0,2,11554.66251333823,270,11284.66251333823,1.3878311453628114,959,13,1.740269007470732,0.0
90,35,F,5,Unknown,Single,Less than $40K,Blue,27,4,6,3,1438.3,0,1438.3,1.1954307822872616,4073,69,0.0,0.25828883889278254
91,47,F,4,Uneducated,Divorced,Unknown,Blue,35,5,4,2,7307.796460870419,2517,4790.796460870419,0.0,7119,102,1.0481794769338553,0.32536765106481536
92,45,F,1,Unknown,Married,$40K - $60K,Blue,48,3,2,6,9069.004521546733,183,8886.004521546733,0.363363822050926,5003,61,0.529412393947931,0.28092455787306614
93,47,F,0,Unknown,Single,$40K - $60K,Blue,28,3,2,0,8491.684225349713,316,8175.6842253497125,1.438852247053713,1944,28,1.6235658763955576,0.5178443937557337
94,42,M,4,Graduate,Single,$120K +,Blue,51,3,0,2,1438.3,1873,3.0,0.0,2525,41,0.7422351001295362,0.394104202248042
95,61,M,1,High School,Married,$60K - $80K,Blue,53,1,6,0,4689.638257256318,129,4560.638257256318,3.007066864967494,4072,57,0.870211141603582,0.06404157806232082
96,44,F,1,College,Single,Less than $40K,Blue,39,5,2,1,3738.7804366627915,1325,2413.7804366627915,0.6610433029774192,3643,77,0.5326135361421098,0.46795746316296905
97,30,F,0,Graduate,Unknown,$40K - $60K,Blue,56,3,0,3,18278.31747105599,603,17675.31747105599,1.4567271138834923,5546,60,0.5155263918871194,0.06813943258631526
98,31,M,2,High School,Married,Less than $40K,Blue,36,4,2,3,11134.043527274589,256,10878.043527274589,0.0,2209,25,1.1032087012241285,0.7215116774821918
99,40,M,2,Graduate,Single,$120K +,Blue,56,4,5,3,18930.74639787853,2196,16734.74639787853,0.07962728920566498,4413,64,0.09669440191477296,0.31351955028563505
100,35,M,4,High School,Single,Less than $40K,Blue,44,4,1,5,3720.7435435241678,492,3228.7435435241678,0.19733796827582933,2034,52,0.21232882531530173,0.13012380197625778
101,40,F,3,Graduate,Single,$80K - $120K,Blue,30,3,3,3,5679.276261068409,0,5679.276261068409,1.9949208205879145,4721,53,1.9604754057216744,0.0
102,56,M,1,High School,Unknown,Unknown,Blue,28,1,4,2,13243.001577936893,0,13243.001577936893,0.0,4653,65,1.7476048816374092,0.1728020264282985
103,50,F,2,Graduate,Single,Less than $40K,Blue,17,1,0,2,17474.202560961123,0,17474.202560961123,0.0,6282,81,1.8397209341579859,0.09863692091745413
104,46,F,3,Graduate,Unknown,$80K - $120K,Blue,42,2,2,0,8197.591069900676,16,8181.591069900676,0.6554173146762057,2359,57,2.0876353526936007,0.32752468170478666
105,32,F,3,High School,Single,$120K +,Blue,32,1,4,4,11380.606541688461,287,11093.606541688461,0.28801507251866965,1263,22,0.0,0.2615357483114906
106,54,F,2,High School,Married,$120K +,Blue,34,5,4,1,11152.125860976825,358,10794.125860976825,0.0,1116,20,0.0,0.06201062328671675
107,52,M,2,Graduate,Single,$40K - $60K,Blue,38,1,1,1,13308.304925513265,0,13308.304925513265,0.0,5363,65,0.0,0.48492584610997086
108,60,M,1,High School,Married,$80K - $120K,Blue,45,2,4,0,9956.455511546372,2055,7901.455511546372,1.2478544541827388,787,15,0.8145123703278021,0.0
109,45,M,3,Graduate,Single,$60K - $80K,Blue,39,3,5,3,11624.114857866849,1576,10048.114857866849,0.374683058479016,6022,66,2.0725329736197406,0.0
110,43,M,3,Uneducated,Married,$40K - $60K,Blue,42,2,1,2,1438.3,16,1422.3,0.7532119906227871,3414,53,0.0,0.2684899213137023
111,44,M,1,High School,Single,Less than $40K,Blue,31,2,0,4,1438.3,978,460.29999999999995,1.3310708810184466,6212,67,1.8936350802001845,0.3427838995692303
112,55,F,2,Unknown,Unknown,$40K - $60K,Blue,40,6,5,0,13900.166505633504,574,13326.166505633504,1.2867317227754755,3476,52,0.0,0.6299205439113751
113,53,F,1,Uneducated,Unknown,Less than $40K,Blue,45,5,0,4,1438.3,2450,3.0,0.0,8628,104,0.03280265611240707,0.6140713743144129
114,41,M,3,College,Married,Less than $40K,Silver,40,3,4,2,7406.300722878388,0,7406.300722878388,1.7640599589768728,6219,62,0.8770983293381145,0.5545854659193812
115,32,F,3,Post-Graduate,Married,$80K - $120K,Blue,25,6,3,0,32918.6509687239,2517,30401.6509687239,0.33844365499095935,3278,54,2.6620317040149155,0.4228069595212384
116,49,M,4,Uneducated,Single,Less than $40K,Blue,37,3,6,3,4216.379208453415,1238,2978.3792084534152,0.40063638281567654,5206,60,0.0,0.2937506382835683
117,37,F,0,Uneducated,Divorced,$60K - $80K,Blue,50,3,1,4,1577.9909238744422,1102,475.99092387444216,0.560937697387344,4508,63,0.4081846233212032,0.999
118,30,M,2,Unknown,Single,$40K - $60K,Blue,29,4,3,5,1438.3,0,1438.3,0.0,3074,62,0.7321484356653285,0.07842770244524454
119,55,F,3,High School,Married,Less than $40K,Blue,45,5,2,1,1438.3,728,710.3,1.5901200423768242,2916,49,0.0016374627404551756,0.999
120,34,F,1,High School,Single,Less than $40K,Blue,22,4,4,4,1438.3,1728,3.0,1.9361013616762028,5156,77,0.22649387434966417,0.7939099249121132
121,50,M,1,High School,Married,$80K - $120K,Blue,30,2,6,3,10202.521778035767,1821,8381.521778035767,0.06502977701162416,3600,56,1.467961702039295,0.1523199695859703
122,50,M,1,Unknown,Divorced,$80K - $120K,Blue,25,4,5,3,12454.515896279989,741,11713.515896279989,1.1608329562983286,1818,21,0.0,0.06720016650676942
123,40,M,4,High School,Married,Less than $40K,Blue,39,2,0,6,10460.732646075276,852,9608.732646075276,2.0973821034753715,3203,47,0.7374037489128158,0.32341004056972755
124,37,M,4,Doctorate,Married,Less than $40K,Blue,36,3,3,2,1438.3,1291,147.29999999999995,0.0,1042,19,1.861704999839632,0.0
125,53,F,4,Graduate,Divorced,Less than $40K,Blue,24,3,0,5,18723.5711546209,263,18460.5711546209,0.0,4110,54,0.6421009147723521,0.7108045339428245
126,52,F,3,Uneducated,Unknown,$60K - $80K,Blue,26,4,4,4,20909.326369806717,0,20909.326369806717,1.4346677510457084,3772,58,0.6286174191997523,0.0
127,46,M,4,Graduate,Married,Unknown,Blue,45,2,6,4,8477.780066220655,0,8477.780066220655,1.8264232197510073,7388,81,0.06049604647507012,0.31302786079522615
128,45,F,1,High School,Single,Unknown,Blue,36,5,5,3,16908.25431045663,1042,15866.254310456628,2.4302500391519706,2188,41,0.9966360182936795,0.4658576134803206
129,57,F,4,Uneducated,Married,Unknown,Blue,36,3,0,4,5326.58035614383,774,4552.58035614383,2.958160924703587,6247,82,0.0,0.0
130,47,M,2,College,Single,Less than $40K,Blue,27,3,4,3,24220.24187856917,1444,22776.24187856917,0.67747069391395,5650,59,0.7577600054832205,0.5340488080053457
131,53,M,2,Unknown,Married,Less than $40K,Blue,28,4,0,2,5936.96038367363,1436,4500.96038367363,1.2214686120226106,1527,32,1.6849858901778307,0.7163290311111485
132,34,M,2,Doctorate,Married,Less than $40K,Blue,30,5,6,5,1438.3,0,1438.3,1.63760775492579,5578,66,0.0,0.12842706947946853
133,52,M,1,Graduate,Single,Less than $40K,Blue,36,3,0,3,17712.854393487592,1087,16625.854393487592,0.06279477700466696,2023,43,1.157351334152374,0.3472634378892919
134,42,F,1,Graduate,Married,Less than $40K,Blue,50,5,3,1,16074.34026780467,273,15801.34026780467,1.979917354854753,5870,79,0.0,0.0
135,36,M,5,Graduate,Divorced,$60K - $80K,Blue,42,4,5,0,3224.7790492043687,1432,1792.7790492043687,0.0,510,11,0.0,0.3191312848909884
136,44,M,0,Uneducated,Married,Less than $40K,Blue,43,5,3,4,9181.76051205701,2517,6664.76051205701,0.0,2375,71,0.0,0.8563934405581759
137,48,M,1,Graduate,Married,Less than $40K,Blue,30,3,6,0,1438.3,2517,3.0,1.1510222959376954,708,15,0.0,0.7833774006652661
138,31,F,4,Doctorate,Married,Less than $40K,Blue,50,4,4,6,4629.626093484789,0,4629.626093484789,1.0064145064530876,3220,92,0.0,0.0
139,46,M,4,High School,Single,Less than $40K,Blue,39,4,2,0,20045.053814926687,598,19447.053814926687,0.14695910823572733,4950,63,0.8242791995543606,0.0
140,58,F,2,Unknown,Single,$120K +,Blue,29,4,3,3,21316.121722218588,949,20367.121722218588,0.2068272161922588,973,16,0.0,0.8065202511468048
141,58,F,3,College,Unknown,Unknown,Blue,56,3,1,5,1438.3,0,1438.3,0.7128131095400823,4082,53,0.1565013962877298,0.5334808585255804
142,42,F,1,High School,Single,$80K - $120K,Blue,56,5,1,6,3209.103699428504,1447,1762.1036994285041,2.0960383827045987,1120,14,0.2356481651360372,0.0
143,42,F,1,Post-Graduate,Unknown,$60K - $80K,Blue,33,1,6,6,3424.355000814732,848,2576.355000814732,1.7208477761856502,4560,54,2.0332614966354687,0.0
144,61,M,3,Unknown,Single,Less than $40K,Blue,31,4,4,0,21058.54493867069,0,21058.54493867069,0.0994373416999792,1864,41,0.0,0.2983314901366727
145,41,F,4,Graduate,Married,$80K - $120K,Blue,35,4,4,4,1438.3,0,1438.3,0.632565897470264,630,10,0.0,0.07211867428006635
146,34,M,0,Unknown,Single,Less than $40K,Blue,36,3,3,3,9596.941760235084,1752,7844.941760235084,0.606210945798701,3510,51,0.18558659012172168,0.41538182577191257
147,51,F,2,Graduate,Single,Less than $40K,Blue,40,3,3,3,11171.399605191888,0,11171.399605191888,0.0,3924,56,0.0,0.6401414345518657
148,46,F,2,Graduate,Single,Unknown,Silver,33,5,4,1,2643.609182997274,0,2643.609182997274,0.7843831384480491,8658,100,0.0,0.6641769895548322
149,44,F,1,High School,Single,$60K - $80K,Blue,47,6,4,5,2304.8786465448757,724,1580.8786465448757,0.9775631582964399,3259,58,0.04832367881902255,0.0
150,47,F,5,College,Single,Unknown,Blue,23,3,5,4,1438.3,0,1438.3,1.2405968363474313,5260,67,0.036176435386755745,0.5108675724451184
151,43,F,0,High School,Single,$80K - $120K,Blue,39,3,4,3,5492.861062800509,0,5492.861062800509,0.7008343320017142,2613,35,0.0,0.09614373309775456
152,47,M,1,Unknown,Single,Less than $40K,Blue,37,3,3,1,4548.676764141042,418,4130.676764141042,0.0,608,10,0.0,0.2935001681419931
153,55,M,4,Unknown,Divorced,$60K - $80K,Blue,31,5,0,4,5556.773251040489,0,5556.773251040489,0.6713263146221508,3667,49,0.0,0.16079323713794452
154,35,M,1,Post-Graduate,Married,Unknown,Blue,50,2,5,5,14313.529561000018,413,13900.529561000018,2.0601928179055102,2097,24,0.732608425589381,0.05413632643290697
155,38,M,1,Unknown,Single,Less than $40K,Blue,33,4,4,0,1983.4907814373619,646,1337.4907814373619,0.0,1441,26,0.4107202940525291,0.2568378475823806
156,37,F,3,Unknown,Married,$60K - $80K,Blue,39,5,3,3,12978.20515287567,865,12113.20515287567,0.0,4839,74,0.0,0.0
157,49,F,4,Graduate,Divorced,$120K +,Blue,27,3,0,4,26959.070725712587,719,26240.070725712587,0.0,2207,37,1.6111192666671164,0.1676847990844618
158,47,F,3,Graduate,Married,Less than $40K,Blue,29,6,3,3,19871.10567159081,875,18996.10567159081,2.295760825684103,635,10,1.0672700600540321,0.6803183824592097
159,40,F,5,College,Married,$120K +,Blue,38,6,2,3,11358.619614619829,1098,10260.619614619829,0.0,2658,32,0.7427429772117222,0.006274526075354059
160,51,M,3,High School,Unknown,Less than $40K,Blue,31,4,2,4,12275.853662730198,530,11745.853662730198,1.4672506482640926,3150,45,1.1112652725052485,0.02354839024537342
161,55,F,2,Graduate,Single,Unknown,Blue,42,3,6,5,1438.3,2163,3.0,0.018192206354918583,5972,78,1.0327087570182671,0.0
162,61,M,1,Uneducated,Single,Less than $40K,Blue,34,3,1,5,1438.3,1367,71.29999999999995,0.9483612568917813,2941,39,0.6984442921158518,0.06372948055099498
163,54,F,1,Graduate,Single,Less than $40K,Blue,38,2,1,6,12478.602205447476,1552,10926.602205447476,0.9741618227848609,5214,73,0.0,0.21737769622204242
164,51,M,1,High School,Single,Less than $40K,Blue,39,5,3,0,11589.581213864843,884,10705.581213864843,0.0,2582,58,1.155035063548818,0.17270041285614401
165,35,M,1,Graduate,Married,$60K - $80K,Blue,32,5,6,4,34516.0,0,34516.0,0.0,2956,47,1.3175216675856116,0.5530787568102202
166,42,M,2,Graduate,Married,Unknown,Blue,27,1,4,3,21674.118211681653,759,20915.118211681653,0.0,4257,54,0.0,0.20976052356581548
167,42,M,2,Uneducated,Married,$80K - $120K,Blue,33,2,3,3,1438.3,416,1022.3,2.192184478668519,3062,47,2.9012478561144848,0.0
168,29,F,3,Graduate,Married,Less than $40K,Blue,42,3,0,6,6366.339176261088,2517,3849.339176261088,0.5335095114120436,1200,48,0.0,0.44718943216462537
169,47,F,3,Graduate,Single,$60K - $80K,Blue,23,1,0,4,7436.326981545892,2259,5177.326981545892,2.036581065824602,2943,43,0.5630584712022852,0.7203600268406098
170,42,F,4,High School,Single,$60K - $80K,Blue,45,5,2,2,12631.72780814228,2517,10114.72780814228,0.0,5923,90,0.2399593896151806,0.999
